,question,ahc_label,cluster
191,What have you implemented to help older people who do not know how to use the internet phone to obtain their groceries and medicine,0,unclassified
493,Why didn t you answer my first question,0,unclassified
579,If this is really deep learning how deep is your model,0,unclassified
167,Do I need to disinfect things I buy like groceries and supplies,0,unclassified
584,Can I still see my friends,0,unclassified
164,Is ACE Inhibitor harmful,0,unclassified
290,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,0,unclassified
161,Will the groceries shut down,0,unclassified
160,Why is Trudeau asleep,0,unclassified
587,what has caused it,0,unclassified
492,What s the current count in India,0,unclassified
155,When will be done,0,unclassified
489,What is the situation right now in the world,0,unclassified
287,Do we have this epidemic and many more to come because we re not taking care of the earth we re destroying more and more trees and humans are eating more wild animals that have viruses per a talk from Alanna Shaikh,0,unclassified
588,Covid19,0,unclassified
148,My father is 80 years and food is delivered to him daily Can food containers and food itself be contaminated by COVID,0,unclassified
590,Is it transmissible through anal sex,0,unclassified
297,If I am starting to breath heavily should I get it checked out,0,unclassified
304,Option to run the questions for children,0,unclassified
307,Should I not touch my mail,0,unclassified
141,When will the schools reopen,0,unclassified
592,when will germany reach the peak,0,unclassified
138,I worry for my mental health during quarantine,0,unclassified
593,Should I visit my parents in a seniors home,0,unclassified
469,What will be th impact on international students,0,unclassified
309,How many patients are across the globe,0,unclassified
131,When should I visit a doctor,0,unclassified
149,When do I expect to hear back from you,0,unclassified
174,Will 1 meter distancing safe,0,unclassified
286,How many thing you do not understand,0,unclassified
575,Sorry I het enter before I was done am I just being paranoid and giving myself an ulcer my husband has pulmonary fibrosis so I m really worried about him,0,unclassified
534,Have there been any deceased children so far,0,unclassified
237,Are vet clinics still open,0,unclassified
536,Should I use Sudafed,0,unclassified
523,What should i do if i am short of breath,0,unclassified
229,What is the probability of dying,0,unclassified
250,Hypertension,0,unclassified
227,how are you,0,unclassified
225,How many case in montreal,0,unclassified
224,where did it start,0,unclassified
252,Could stores open a few hours a week for the elderly,0,unclassified
541,Suffering from trout echiting,0,unclassified
217,What should I do,0,unclassified
516,hat should I do if my 2 year old child starts having a runny nose,0,unclassified
215,How do I know if my chest is hurt because lung damage or another cause,0,unclassified
505,My son is flying from Kansas to England on the 30th April He is flying into Heathrow and then travelling home to Manchester by train,0,unclassified
549,What the size,0,unclassified
201,what is this site,0,unclassified
272,who can you do,0,unclassified
558,Is Covid19 an airborne,0,unclassified
564,is the liquor store open,0,unclassified
496,What should I do if I start coughing,0,unclassified
567,Mortality rate today,0,unclassified
187,what is canada quarantine policy,0,unclassified
568,Does washing clothes in the washing machine prevent transmission,0,unclassified
571,How are you,0,unclassified
181,Will there be any changes in PGWP,0,unclassified
280,How do we best organize people so that duplicate work is not being done,0,unclassified
529,When will the municipalities post heat maps to identify hot spots for Covid positive residents,0,unclassified
310,How i know that i m ill,0,unclassified
128,how to interact with people,0,unclassified
119,good morning,0,unclassified
634,What is the situation now in my country,0,unclassified
61,Chlono,0,unclassified
642,What should you do if you dont have water and soap and sanitizer,0,unclassified
362,what is self monitoring,0,unclassified
655,should I call to find out more it s the coughing and difficulty breathing and fatigue that worries me,0,unclassified
370,What should I use to disinfect grocery bags and grocery items,0,unclassified
52,mental health,0,unclassified
371,How much it s prevelent in Pakistan,0,unclassified
657,what is this rainbow thing that people are talking about,0,unclassified
43,Precautions to measure,0,unclassified
658,could we have done better,0,unclassified
39,Are there still flights within Canada,0,unclassified
415,Do I need to wash my vegetables and fruits,0,unclassified
412,i am coughing what should i do,0,unclassified
410,In this time of crisis is it okay to feed the raccoons,0,unclassified
27,Non,0,unclassified
665,Is it safe to jog run outside,0,unclassified
408,I recently relocated to Quebec Can I request RAMQ card with visiting the RAMQ office,0,unclassified
405,When will we be back to work,0,unclassified
23,What is,0,unclassified
398,Who can I make the difference between a cold and covid19,0,unclassified
20,South korea,0,unclassified
13,How to avoid exposure,0,unclassified
12,What is it,0,unclassified
8,How s the shortness of breath,0,unclassified
7,Do you think Taiwan is good,0,unclassified
393,Will people on LTD Long Term Disability drill receive their payments,0,unclassified
126,what is canada s situation right now,0,unclassified
67,As of today can we gather only 2,0,unclassified
65,Where can we find ventilator,0,unclassified
240,What is the mortality rate,0,unclassified
106,is the grocery open,0,unclassified
104,What is the advice surrounding outdoor exercise sport,0,unclassified
459,Can I fo,0,unclassified
601,Is ordering food from a restaurant discouraged,0,unclassified
605,What s the capital of Palestine,0,unclassified
336,Is it safe to give blood,0,unclassified
321,What are effective immunity boosters,0,unclassified
462,What is your name,0,unclassified
68,what are the conditions under which people are most likely to develop complications versus those who won t,0,unclassified
456,Do I need to be seen by a doctor,0,unclassified
595,Impacts of it,0,unclassified
324,When should I contact a doctor,0,unclassified
89,why is my dick so big,0,unclassified
452,im sneezing should i be worried,0,unclassified
441,What s happen for country near the Ecuador with a lot of hot,0,unclassified
623,is it made by human or by nature,0,unclassified
313,how old are you,0,unclassified
77,How can I make the difference between a cold and covid19,0,unclassified
432,How are you,0,unclassified
431,What to do when i gave cough,0,unclassified
358,how to prevent,0,unclassified
426,WHat is your name,0,unclassified
71,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery We have Sobey s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way,0,unclassified
88,What s the point of asking you questions if you don t have answers,0,unclassified
599,How many will lose their jobs due to the chinese virus,0,unclassified
315,Isn t the economy impact and the panic reaction going to kill more than the virus It seems the virus only kills 1 while over 30 of the population might lose their jobs,1,unclassified
281,Can this virus infect me in an airborne fashion,1,unclassified
262,Is the virus vulnerable to high temperature Does steam cleaning the surfaces and cloths kills the virus,1,unclassified
503,Does soap really kill the virus,1,unclassified
278,Has the virus evolved,1,unclassified
436,How did this virus transmit,1,unclassified
458,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs,1,unclassified
338,How to differentiate between coronavirus and simple flu,1,unclassified
685,If I cross someone on the street how are the chance to catch the virus,1,unclassified
540,How do I distinguish between the flu and coronavirus,1,unclassified
620,What is the difference between a bacteria and a virus,1,unclassified
109,Is it true that warm kills Coronavirus,1,unclassified
596,how can one fight the virus,1,unclassified
538,When this virus terminated,1,unclassified
82,How do I treat coronavirus,1,unclassified
629,How deadly is the virus,1,unclassified
145,Will high temperature kill coronavirus,1,unclassified
153,How severe is the virus,1,unclassified
630,How is it transmitted,1,unclassified
