timestamp_est,anonymous_id,language,question,detected_lang,symptom,statistics,can,hospital,isolation,about,incubation,infection,caution,treatment,future,nextsteps,test,open,total,cluster,ans_0,ans_1,ans_2,ans_3,ans_4
2020-03-22T22:01:33.044Z,27981bf8-e098-4bc3-b2a5-d1aa2fd1a2c4,es,What is COVID 19,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,about,"COVID-19 usually infects the nose, throat and lungs. In most cases, it is spread by:",There is no specific treatment or vaccine for COVID-19 for the moment. Most people with the virus will recover on their own by remaining at home without needing to go to the hospital.,The main symptoms of COVID-19 are as follows:,Masks are not an effective means of protection for the general public in Québec. Their use is indicated more for patients who are suspected of being infected and for the health professionals who are providing care for them.,Stay at home and avoid contact with others
2020-03-25T10:21:13.998Z,6f1a4ee9-2f4b-4fbd-b90c-f957532c96d4,en,what is covid,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,about,"COVID-19 usually infects the nose, throat and lungs. In most cases, it is spread by:",A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.,There is no specific treatment or vaccine for COVID-19 for the moment. Most people with the virus will recover on their own by remaining at home without needing to go to the hospital.,"Workers who have flu-like symptoms must call the Government of Québec’s COVID-19 information line at 1 877 644-4545 to find out what they must do to protect their health and avoid spreading the virus.Workers with flu-like symptoms must not visit a user.Workers must not visit a user within 14 days of returning from travelling abroad, irrespective of the country. Workers returning from travelling abroad must self-isolate for 14 days.Workers who are affected by these measures must inform their employer (the user) quickly and contact the user’s CLSC to prevent any interruption of services.Workers who are affected by these measures may be eligible for the Temporary Aid for Workers Program for absences due to COVID-19. For information about eligibility and how to apply for aid, please go to the page Temporary Aid for Workers Program (COVID-19 TAWP).Workers who notice that a user has flu-like symptoms must refer the user to the Government of Québec’s COVID-19 information line at 1 877 644-4545 so that they can find out what they must do to protect their health and avoid spreading the virus.For updates to the directives, which could change at any time, please consult this page regularly.",The main symptoms of COVID-19 are as follows:
2020-03-22T12:30:23.324Z,584b2f48-550f-4537-a49a-874eb246809f,en,What is the half life of coronavirus,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,about,"The current coronavirus (COVID-19) pandemic is a particular and rare situation. It can affect people physically, but also psychologically. In this type of context, many people will experience stress, anxiety and depression reactions. This page should be seen as a tool that can help you to minimize the repercussions of these kinds of reactions on your life.","Listen to the radio, watch TV, read the newspaper and/or go to the following government website often: Québec.ca/ coronavirus.",The main symptoms of COVID‑19 are as follows:,"Use your judgment in light of the space available. First and foremost, it is important to follow the health recommendations and establish basic hygiene measures.","Stress is a normal physiological response to an abnormal situation. As such, it is part and parcel of our lives. It enables our body to adapt to the multiplicity of positive and negative events that we experience, like a birth, marriage, loss of employment, etc. Stress comes and goes on its own, depending of what factors are involved. For example, if you feel stressed on the job but less so at home in the evening or on the weekend, we could deduce that the stressors are work-related."
2020-03-23T13:24:15.806Z,e04fe1c8-6500-4e8b-b387-3977dc24ffa7,en,What is the relationship between COVID 19 and other lung diseases,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,about,The main symptoms of COVID‑19 are as follows:,"In December 2019, the World Health Organization was alerted to several cases of pneumonia in Wuhan, China. The virus responsible for the disease did not match any other known virus. On January 7, 2020, China confirmed that a new virus from the coronavirus family had been identified that was responsible for this new disease called COVID‑19.",A coronavirus disease (COVID-19) can resemble the common cold or be much more like severe respiratory diseases.,"COVID-19 usually infects the nose, throat and lungs. In most cases, it is spread by:",The main symptoms of COVID-19 are as follows:
2020-03-23T10:17:05.599Z,47afe213-b056-442e-b1af-2b4cd62fdf7e,fr,what is coronavirus,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,about,"Listen to the radio, watch TV, read the newspaper and/or go to the following government website often: Québec.ca/ coronavirus.",A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.,"Stress is a normal physiological response to an abnormal situation. As such, it is part and parcel of our lives. It enables our body to adapt to the multiplicity of positive and negative events that we experience, like a birth, marriage, loss of employment, etc. Stress comes and goes on its own, depending of what factors are involved. For example, if you feel stressed on the job but less so at home in the evening or on the weekend, we could deduce that the stressors are work-related.","To register your children for emergency daycare services, you must follow one of the procedures below, depending on what type of institution they attend. Please make sure you absolutely need emergency daycare services before making a request.",Information on the Program is available on the Québec.ca website .
2020-03-22T12:35:43.789Z,95b4de1f-3df5-4e20-a0da-1e1993a7bb77,en,what is cover,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,about,A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.,Cough and sneeze without contaminating others.,"Yes, the RAMQ will from now on cover health services provided by correspondence or by means of telecommunications. This coverage includes, for example, a telephone consultation with a physician.","Stress is a normal physiological response to an abnormal situation. As such, it is part and parcel of our lives. It enables our body to adapt to the multiplicity of positive and negative events that we experience, like a birth, marriage, loss of employment, etc. Stress comes and goes on its own, depending of what factors are involved. For example, if you feel stressed on the job but less so at home in the evening or on the weekend, we could deduce that the stressors are work-related.","To register your children for emergency daycare services, you must follow one of the procedures below, depending on what type of institution they attend. Please make sure you absolutely need emergency daycare services before making a request."
2020-03-24T12:53:53.83Z,cf0fdc47-5500-4560-9f6c-cc298d490f36,en,what is covid 19,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,about,"COVID-19 usually infects the nose, throat and lungs. In most cases, it is spread by:",There is no specific treatment or vaccine for COVID-19 for the moment. Most people with the virus will recover on their own by remaining at home without needing to go to the hospital.,The main symptoms of COVID-19 are as follows:,Masks are not an effective means of protection for the general public in Québec. Their use is indicated more for patients who are suspected of being infected and for the health professionals who are providing care for them.,Stay at home and avoid contact with others
2020-03-24T18:32:27.127Z,1b5fff96-1eb7-437a-a867-3e18cd831696,es,What si coronavirus,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,about,"Listen to the radio, watch TV, read the newspaper and/or go to the following government website often: Québec.ca/ coronavirus.",Dois-je me mettre en quarantaine (auto-isolation)?,Dirigez-vous les employés à la ressource appropriée si un d’eux devenait positif au Coronavirus?,Est-ce que tous les laboratoires sont ouverts pour prélever des échantillons si j'ai besoin de tests pour autre chose que des coronavirus?,"Si quelqu'un a eu la COVID-19 et s'en est remis, est-il/elle immunisé.e contre la maladie ?"
2020-03-24T00:23:49.924Z,9b6d2334-2505-4e7c-b167-7a7e5fdf4180,en,What is covid,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,about,"COVID-19 usually infects the nose, throat and lungs. In most cases, it is spread by:",A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.,There is no specific treatment or vaccine for COVID-19 for the moment. Most people with the virus will recover on their own by remaining at home without needing to go to the hospital.,"Workers who have flu-like symptoms must call the Government of Québec’s COVID-19 information line at 1 877 644-4545 to find out what they must do to protect their health and avoid spreading the virus.Workers with flu-like symptoms must not visit a user.Workers must not visit a user within 14 days of returning from travelling abroad, irrespective of the country. Workers returning from travelling abroad must self-isolate for 14 days.Workers who are affected by these measures must inform their employer (the user) quickly and contact the user’s CLSC to prevent any interruption of services.Workers who are affected by these measures may be eligible for the Temporary Aid for Workers Program for absences due to COVID-19. For information about eligibility and how to apply for aid, please go to the page Temporary Aid for Workers Program (COVID-19 TAWP).Workers who notice that a user has flu-like symptoms must refer the user to the Government of Québec’s COVID-19 information line at 1 877 644-4545 so that they can find out what they must do to protect their health and avoid spreading the virus.For updates to the directives, which could change at any time, please consult this page regularly.",The main symptoms of COVID-19 are as follows:
2020-03-24T00:23:49.924Z,9b6d2334-2505-4e7c-b167-7a7e5fdf4180,en,What is covid,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,about,"COVID-19 usually infects the nose, throat and lungs. In most cases, it is spread by:",A health emergency can be declared when a threat to the health of the population demands the immediate application of certain measures. It empowers the Québec government and the Ministère de la Santé et des Services sociaux to implement an array of measures to protect the health of the population.,There is no specific treatment or vaccine for COVID-19 for the moment. Most people with the virus will recover on their own by remaining at home without needing to go to the hospital.,"Workers who have flu-like symptoms must call the Government of Québec’s COVID-19 information line at 1 877 644-4545 to find out what they must do to protect their health and avoid spreading the virus.Workers with flu-like symptoms must not visit a user.Workers must not visit a user within 14 days of returning from travelling abroad, irrespective of the country. Workers returning from travelling abroad must self-isolate for 14 days.Workers who are affected by these measures must inform their employer (the user) quickly and contact the user’s CLSC to prevent any interruption of services.Workers who are affected by these measures may be eligible for the Temporary Aid for Workers Program for absences due to COVID-19. For information about eligibility and how to apply for aid, please go to the page Temporary Aid for Workers Program (COVID-19 TAWP).Workers who notice that a user has flu-like symptoms must refer the user to the Government of Québec’s COVID-19 information line at 1 877 644-4545 so that they can find out what they must do to protect their health and avoid spreading the virus.For updates to the directives, which could change at any time, please consult this page regularly.",The main symptoms of COVID-19 are as follows:
